RiskAdaptive Supervisor Experiments
================================================================================

FUSION WEIGHT SENSITIVITY
--------------------------------------------------------------------------------
ML	Rule	Accuracy	Precision	Recall	F1	FPR	FNR
0.00	1.00	0.220711	0.000000	0.000000	0.000000	0.000000	1.000000
0.25	0.75	0.225830	1.000000	0.006569	0.013051	0.000000	0.993431
0.40	0.60	0.964090	1.000000	0.953919	0.976416	0.000000	0.046081
0.50	0.50	0.971912	1.000000	0.963957	0.981648	0.000000	0.036043
0.60	0.40	0.988739	1.000000	0.985549	0.992722	0.000000	0.014451
0.75	0.25	0.998687	0.999966	0.998349	0.999157	0.000119	0.001651
1.00	0.00	0.998792	0.999562	0.998888	0.999225	0.001546	0.001112

ABLATION
--------------------------------------------------------------------------------

Rule only
  accuracy: 0.22071137944612154
  precision: 0.0
  recall: 0.0
  f1: 0.0
  tn: 8408
  fp: 0
  fn: 29687
  tp: 0
  fpr: 0.0
  fnr: 1.0

Random Forest only
  accuracy: 0.9987924924530779
  precision: 0.9995618026763744
  recall: 0.9988884023309866
  f1: 0.9992249890487583
  tn: 8395
  fp: 13
  fn: 33
  tp: 29654
  fpr: 0.0015461465271170314
  fnr: 0.0011115976690133729

Random Forest + Rule fusion
  accuracy: 0.9887386796167476
  precision: 1.0
  recall: 0.9855492303028262
  f1: 0.9927220290100942
  tn: 8408
  fp: 0
  fn: 429
  tp: 29258
  fpr: 0.0
  fnr: 0.014450769697173847
